time_s,I_prompt,Q_prompt
0.162,-493.527942758783,-3908.8637296581
0.163,-353.464312715164,-3981.93198058733
0.164,-387.089315993711,-3982.24518788025
0.165,-196.714786909886,-4004.42242433499
0.166,-341.619841338913,-4022.08177521144
0.167,-263.887904126588,-4028.45664922787
0.168,-307.208086924144,-4033.9810971601
0.169,-404.57484254173,-4083.18373166342
0.17,-322.804751634994,-4123.91052521069
0.171,-273.106523031728,-4055.51313904164
0.172,-250.523593375329,-4021.2783455675
0.173,-276.805010603316,-4027.10662716288
0.174,-372.253254803534,-4042.47314288932
0.175,-440.599526813394,-3990.47517346329
0.176,-320.113443037661,-4036.74990750165
0.177,-488.530419560141,-4050.51204019646
0.178,-364.476848878974,-4046.71165513581
0.179,-400.448045174608,-4108.82728743544
0.18,-568.80546209858,-4077.36127616462
0.181,-459.551951447468,-4150.76977320958
0.182,-625.250669022891,-4035.38039963776
0.183,-537.059790817071,-4060.47091087468
0.184,-585.23395897427,-3973.27709481233
0.185,-423.838042220945,-3966.54770625927
0.186,-551.736595892451,-3957.10747308998
0.187,-437.215605055721,-3929.82587494954
0.188,-443.242259643346,-3936.20704411115
0.189,-533.865171407548,-4060.57283273651
0.19,-505.716056674196,-4183.68517764426
0.191,-464.189803835296,-4178.94583926337
0.192,-462.806230210564,-4180.94289589969
0.193,-507.385821599195,-4231.51937350649
0.194,-624.936076542243,-4315.08485728244
0.195,-722.076142870347,-4290.2425025594
0.196,-626.020239547693,-4363.28294110652
0.197,-833.976565451878,-4385.40708838012
0.198,-680.970644508759,-4395.93981651442
0.199,-686.842813155985,-4485.61405565487
0.2,-838.438233450898,-4471.69887095779
0.201,-666.609147075236,-4579.50539082944
0.202,-800.932955654589,-4493.19560115506
0.203,-591.32162482298,-4561.90871901111
0.204,-561.071480606461,-4496.08422729445
0.205,-282.36752954649,-4453.20841963976
0.206,-381.806098253946,-4444.31559870563
0.207,-196.068303762664,-4411.23441143171
0.208,-153.902347580359,-4380.08035788834
0.209,-217.208691876825,-4395.61870162821
0.21,-103.909826645507,-4430.48409207082
0.211,13.2106220961101,-4364.02683291682
0.212,107.420701863868,-4322.14271156074
0.213,127.167960170007,-4306.55047393312
0.214,67.3640557406671,-4285.94215586686
0.215,3.13444650833419,-4168.55643189025
0.216,148.6919858983,-4152.27740328368
0.217,54.6659563695138,-4141.04457700878
0.218,267.890133778443,-4041.59020305389
0.219,325.445837124923,-4018.19796280024
0.22,182.550306819876,-3957.60032969153
0.221,288.893725846431,-3960.20262203591
0.222,70.0346160052197,-3900.40672234653
0.223,161.428725779482,-3889.6491890477
0.224,75.5418477680921,-3826.32087906691
0.225,217.790894382007,-3814.73128159822
0.226,57.5859050348675,-3840.02946510084
0.227,136.983174484331,-3809.15957248484
0.228,132.489645519212,-3781.34840223232
0.229,112.362956110579,-3818.73901395235
0.23,235.627673144351,-3859.86632099792
0.231,315.409716269834,-3779.23234865435
0.232,367.695650251606,-3752.8700011013
0.233,388.018710854885,-3788.08591298913
0.234,331.24490228711,-3828.83666242927
0.235,263.344194756232,-3775.54750499551
0.236,387.318687157211,-3778.14628736861
0.237,246.304994887632,-3770.7707804405
0.238,350.78231510211,-3719.86188385889
0.239,363.846774332604,-3781.61595430177
0.24,248.007458456396,-3781.5536536096
0.241,392.725454009422,-3838.34074355907
0.242,191.972029518744,-3797.60385974641
0.243,298.711750960376,-3812.64585532433
0.244,232.584202851854,-3821.2344764281
0.245,410.460979787817,-3807.8446476933
0.246,297.107850006639,-3853.49296703299
0.247,390.526213191329,-3846.89814422006
0.248,395.249456686705,-3873.60732958192
0.249,327.126381264698,-3935.14337507398
0.25,441.449847590067,-4000.85865686277
0.251,496.548174123017,-3980.74036768377
0.252,523.433457047747,-3996.32368396198
0.253,540.480818639737,-4059.90288292151
0.254,523.630817865993,-4133.54439102608
0.255,513.201916769273,-4113.24029951945
0.256,690.576904007206,-4121.98286708013
0.257,527.274102392296,-4161.59529914675
0.258,606.887144256352,-4114.34297243792
0.259,539.235931162253,-4198.56550972523
0.26,290.655758146374,-4249.34121407122
0.261,378.083270473101,-4357.18103273368
0.262,137.273156257658,-4383.96448370549
0.263,233.902983179134,-4501.97060772392
0.264,170.438467897605,-4561.38483855996
0.265,349.625255069183,-4605.34816415293
0.266,126.750806782517,-4696.45262032886
0.267,180.223565458493,-4693.53262992076
0.268,127.873390691984,-4746.43911406604
0.269,14.5702927299406,-4863.04880431733
0.27,57.5284120113696,-4926.88813228684
0.271,95.9822111233316,-4867.58470634069
0.272,122.923106033458,-4861.35222658651
0.273,82.2296771098514,-4888.16176927093
0.274,-66.0717254518859,-4918.45130615308
0.275,-171.484304018446,-4872.25900514779
0.276,-15.8322391937956,-4936.78436257462
0.277,-208.120099719713,-4966.53664975686
0.278,-55.8581530265196,-4968.80186129113
0.279,-75.8198538796377,-5061.4770655822
0.28,-264.499947910953,-5036.90326521215
0.281,-162.978844292116,-5130.62604489755
0.282,-451.30754806071,-5077.85316024029
0.283,-338.406427083583,-5181.17073718223
0.284,-436.42273833855,-5185.62124772271
0.285,-267.921927678868,-5231.66806985914
0.286,-501.994224919726,-5264.79981817308
0.287,-433.670212443144,-5279.58317320889
0.288,-470.70420044022,-5321.8709284141
0.289,-553.308742061129,-5423.29062271732
0.29,-410.837764351359,-5508.42435297119
0.291,-310.512789654721,-5460.28650192441
0.292,-280.201654545533,-5458.20184877222
0.293,-295.564964578912,-5467.50457664634
0.294,-381.684831445676,-5485.63366397731
0.295,-444.575905716709,-5423.70761024768
0.296,-233.06840884017,-5505.55617069699
0.297,-431.377610974467,-5526.6661578467
0.298,-244.318733741976,-5526.9836095867
0.299,-239.870369324125,-5599.61372628697
0.3,-451.075217778131,-5580.62635789982
